kmr,kr,fitness
1.000000,88.000000,-534.980000
1.000000,89.000000,-534.800000
1.000000,90.000000,-534.620000
1.000000,91.000000,-534.440000
1.000000,92.000000,-534.270000
1.000000,93.000000,-534.090000
1.000000,94.000000,-533.910000
1.000000,95.000000,-533.730000
1.000000,96.000000,-533.550000
1.000000,97.000000,-533.360000
1.000000,98.000000,-533.180000
1.000000,99.000000,-533.000000
1.000000,100.000000,-532.810000
2.000000,1.000000,-573.200000
2.000000,2.000000,-571.400000
2.000000,3.000000,-569.600000
2.000000,4.000000,-567.800000
2.000000,5.000000,-566.000000
2.000000,6.000000,-564.200000
2.000000,7.000000,-562.410000
2.000000,8.000000,-560.620000
2.000000,9.000000,-558.830000
2.000000,10.000000,-557.060000
2.000000,11.000000,-555.290000
2.000000,12.000000,-553.560000
2.000000,13.000000,-551.840000
2.000000,14.000000,-550.140000
2.000000,15.000000,-548.480000
2.000000,16.000000,-546.840000
2.000000,17.000000,-545.240000
2.000000,18.000000,-543.680000
2.000000,19.000000,-542.160000
2.000000,20.000000,-540.680000
2.000000,21.000000,-539.250000
2.000000,22.000000,-537.860000
2.000000,23.000000,-536.510000
2.000000,24.000000,-535.210000
2.000000,25.000000,-533.950000
2.000000,26.000000,-532.730000
2.000000,27.000000,-531.560000
2.000000,28.000000,-530.440000
2.000000,29.000000,-529.350000
2.000000,30.000000,-528.310000
2.000000,31.000000,-527.300000
2.000000,32.000000,-526.330000
2.000000,33.000000,-525.410000
2.000000,34.000000,-524.520000
2.000000,35.000000,-523.660000
2.000000,36.000000,-522.840000
2.000000,37.000000,-522.050000
2.000000,38.000000,-521.290000
2.000000,39.000000,-520.560000
2.000000,40.000000,-519.860000
2.000000,41.000000,-519.180000
2.000000,42.000000,-518.540000
2.000000,43.000000,-517.910000
2.000000,44.000000,-517.310000
2.000000,45.000000,-516.740000
2.000000,46.000000,-516.180000
2.000000,47.000000,-515.650000
2.000000,48.000000,-515.130000
2.000000,49.000000,-514.630000
2.000000,50.000000,-514.150000
2.000000,51.000000,-513.680000
2.000000,52.000000,-513.230000
2.000000,53.000000,-512.800000
2.000000,54.000000,-512.370000
2.000000,55.000000,-511.960000
2.000000,56.000000,-511.560000
2.000000,57.000000,-511.180000
2.000000,58.000000,-510.800000
2.000000,59.000000,-510.430000
2.000000,60.000000,-510.070000
2.000000,61.000000,-509.720000
2.000000,62.000000,-509.370000
2.000000,63.000000,-509.040000
2.000000,64.000000,-508.710000
2.000000,65.000000,-508.380000
2.000000,66.000000,-508.060000
2.000000,67.000000,-507.750000
2.000000,68.000000,-507.440000
2.000000,69.000000,-507.130000
2.000000,70.000000,-506.830000
2.000000,71.000000,-506.530000
2.000000,72.000000,-506.230000
2.000000,73.000000,-505.940000
2.000000,74.000000,-505.650000
2.000000,75.000000,-505.360000
2.000000,76.000000,-505.070000
2.000000,77.000000,-504.780000
2.000000,78.000000,-504.490000
2.000000,79.000000,-504.200000
2.000000,80.000000,-503.910000
2.000000,81.000000,-503.620000
2.000000,82.000000,-503.340000
2.000000,83.000000,-503.050000
2.000000,84.000000,-502.760000
2.000000,85.000000,-502.470000
2.000000,86.000000,-502.170000
2.000000,87.000000,-501.880000
2.000000,88.000000,-501.580000
2.000000,89.000000,-501.290000
2.000000,90.000000,-500.990000
2.000000,91.000000,-500.690000
2.000000,92.000000,-500.380000
2.000000,93.000000,-500.080000
2.000000,94.000000,-499.770000
2.000000,95.000000,-499.460000
2.000000,96.000000,-499.140000
2.000000,97.000000,-498.830000
2.000000,98.000000,-498.500000
2.000000,99.000000,-498.180000
2.000000,100.000000,-497.850000
3.000000,1.000000,-572.300000
